,PSdelay,TIE_PLL_sdev,phasePSvsPLL_mean_40M,phasePSvsPLL_sdev_40M,dutyCycle_PLL_40M,period_PLL_40M,TIE_PS_sdev_40M,phasePSvsPLL_mean_80M,phasePSvsPLL_sdev_80M,TIE_PS_sdev_80M,phasePSvsPLL_mean_640M,phasePSvsPLL_sdev_640M,TIE_PS_sdev_640M,TIE_PLL_sdev_40M0,TIE_PLL_sdev_640M0,TIE_PLL_sdev_40M1,TIE_PLL_sdev_640M1,TIE_PLL_sdev_40M2,TIE_PLL_sdev_640M2,TIE_PLL_sdev_40M3,TIE_PLL_sdev_640M3,TIE_PLL_sdev_40M4,TIE_PLL_sdev_640M4,TIE_PLL_sdev_40M5,TIE_PLL_sdev_640M5
120,120,10.113,3.846,3.487,50.098,25.0,7.039,10.315,7.416,7.033,0.102,4.227,6.95,8.1,7.7,,,,,,,,,,
121,121,10.125,3.939,4.555,50.138,25.0,7.054,10.413,6.205,7.102,0.199,2.528,6.877,8,7.4,,,,,,,,,,
122,122,10.14,4.036,4.17,50.117,25.0,7.038,10.507,6.148,7.07,0.287,3.883,6.994,8.1,7.6,,,,,,,,,,
123,123,10.726,4.12,5.155,50.07,25.0,7.194,10.596,7.077,7.277,0.374,3.417,7.266,8.5,7.3,,,,,,,,,,
124,124,11.365,4.191,5.558,50.067,25.0,7.546,10.69,6.802,7.399,0.463,4.473,7.639,8.4,6.9,,,,,,,,,,
125,125,12.068,4.28,4.842,50.068,25.0,7.878,10.781,4.733,7.759,0.557,5.96,7.981,7.9,6.8,,,,,,,,,,
126,126,12.719,4.37,5.047,50.07,25.0,8.144,10.867,7.687,7.948,0.654,4.615,8.382,7.8,7,,,,,,,,,,
127,127,12.986,4.459,4.942,50.057,25.0,8.186,10.961,7.781,8.184,0.743,5.023,8.486,7.6,7.3,,,,,,,,,,
128,128,12.561,4.643,5.714,49.98,25.0,8.11,11.116,6.96,7.999,0.885,4.715,8.283,7.3,7.1,,,,,,,,,,
129,129,13.19,4.747,5.334,49.989,25.0,8.509,11.203,7.616,8.455,0.981,3.67,8.691,7.4,-1,,,,,,,,,,
130,130,12.812,4.856,4.86,50.049,25.0,8.332,11.305,6.585,8.428,-0.473,5667.095,8.426,7.2,-1,,,,,,,,,,
131,131,12.139,4.952,5.259,50.057,25.0,7.887,11.397,6.02,7.863,1.185,3.357,8.066,6.9,-1,,,,,,,,,,
132,132,11.802,5.044,4.534,50.058,25.0,7.812,11.496,4.397,7.778,1.279,5.296,7.778,6.7,7.8,,,,,,,,,,
133,133,11.503,5.132,5.649,50.067,25.0,7.594,11.59,5.796,7.525,1.373,3.03,7.65,6.6,7.7,,,,,,,,,,
134,134,11.05,5.219,4.424,50.074,25.0,7.281,11.681,5.671,7.418,1.463,4.996,7.401,6.4,7.7,,,,,,,,,,
135,135,10.799,5.314,3.807,50.075,25.0,7.363,11.774,6.652,7.326,0.669,773.241,7.224,6.2,8,,,,,,,,,,
136,136,10.341,5.408,4.675,50.095,25.0,7.147,11.867,5.679,7.132,0.101,4.19,6.981,6.3,8.8,,,,,,,,,,
137,137,9.998,5.506,3.958,50.133,25.0,6.917,11.964,4.122,6.756,0.196,5.253,6.786,6.5,9.1,,,,,,,,,,
138,138,9.339,5.602,4.199,0.0,0.0,-1.0,12.06,6.011,6.538,0.29,2.779,6.467,6.6,9.4,,,,,,,,,,
139,139,9.371,5.686,4.649,50.07,25.0,6.446,12.149,6.031,6.44,0.377,4.184,6.449,6.6,9.5,,,,,,,,,,
140,140,9.403,5.758,3.666,50.065,25.0,6.482,12.245,6.488,6.581,0.465,5.678,6.439,6.7,9.9,,,,,,,,,,
141,141,9.25,5.849,4.712,50.064,25.0,6.37,12.341,5.452,6.405,0.562,4.695,6.382,6.5,10.3,,,,,,,,,,
142,142,9.698,5.939,3.991,50.06,25.0,6.369,12.434,6.135,6.369,0.655,4.579,6.587,6.7,10.2,,,,,,,,,,
143,143,9.796,6.029,4.191,50.048,25.0,6.507,0.029,4.877,6.428,0.745,4.124,6.647,6.6,10.2,,,,,,,,,,
144,144,9.559,6.209,3.186,0.0,24.998,-1.0,0.211,4.466,6.373,0.89,3.202,6.556,6.7,9.4,,,,,,,,,,
145,145,9.717,6.312,4.579,49.983,25.0,6.563,0.306,4.167,6.511,0.987,3.479,6.586,6.7,9.4,,,,,,,,,,
146,146,9.693,6.421,4.551,50.045,25.0,6.533,0.404,3.488,6.511,1.09,3.656,6.588,6.8,9.1,,,,,,,,,,
147,147,9.671,6.518,3.905,0.0,0.0,-1.0,0.496,5.414,6.48,1.186,4.581,6.537,6.9,9.1,,,,,,,,,,
148,148,9.617,6.61,4.269,50.048,25.0,6.587,0.585,5.397,6.494,1.279,5.04,6.59,6.9,9.4,,,,,,,,,,
149,149,9.719,6.704,4.031,50.06,25.0,6.542,0.675,4.711,6.558,1.375,3.938,6.615,7.2,9.5,,,,,,,,,,
150,150,9.76,6.795,3.287,50.065,25.0,6.684,0.764,4.185,6.537,1.463,4.029,6.623,7.4,9.4,,,,,,,,,,
151,151,9.95,6.887,4.332,50.064,25.0,6.695,0.858,6.083,6.711,0.026,3.166,6.721,7.7,8.7,,,,,,,,,,
152,152,10.054,6.982,4.096,50.083,25.0,6.708,0.953,4.344,6.668,0.124,3.809,6.815,7.9,7.9,,,,,,,,,,
153,153,10.132,7.072,4.034,50.118,25.0,6.705,1.047,4.908,6.851,0.22,3.751,6.871,7.9,7.5,,,,,,,,,,
154,154,10.049,7.172,4.486,50.104,25.0,6.889,1.141,5.484,6.929,0.311,2.976,6.739,7.6,7.8,,,,,,,,,,
155,155,10.778,7.24,5.126,50.06,25.0,7.19,1.228,3.884,7.136,0.4,3.793,7.142,8.2,7.4,,,,,,,,,,
156,156,11.168,7.325,4.815,50.061,25.0,7.385,1.326,4.615,7.375,0.487,4.07,7.316,8,7,,,,,,,,,,
157,157,12.114,7.419,5.789,50.058,25.0,7.583,1.416,4.984,7.566,0.578,5.179,7.758,8,-1,,,,,,,,,,
158,158,12.483,7.515,5.661,50.055,25.0,7.833,1.508,4.248,7.856,0.674,3.448,8.083,7.6,-1,,,,,,,,,,
159,159,12.75,7.606,5.07,50.042,25.0,7.925,1.596,4.1,7.731,0.764,4.862,8.238,7.6,-1,,,,,,,,,,
160,160,12.364,7.772,5.107,49.955,25.0,7.923,1.771,4.931,7.801,0.911,5.08,8.026,7.2,-1,,,,,,,,,,
161,161,13.169,7.872,5.888,49.964,25.0,8.184,1.859,4.798,8.307,1.007,4.699,8.435,7.2,7.7,,,,,,,,,,
162,162,12.835,7.978,5.6,50.029,25.0,8.102,1.959,6.125,8.232,1.116,4.913,8.261,7,8,,,,,,,,,,
163,163,11.696,8.079,4.355,50.043,25.0,7.828,2.052,5.801,7.985,1.213,3.522,7.664,7,8,,,,,,,,,,
164,164,11.406,8.172,5.007,50.049,25.0,7.673,2.148,6.538,7.634,1.308,3.997,7.465,6.5,7.8,,,,,,,,,,
165,165,11.399,8.265,5.451,50.06,25.0,7.731,2.244,3.822,7.616,1.4,2.959,7.462,6.3,7.8,,,,,,,,,,
166,166,11.028,8.358,5.858,50.068,25.0,7.318,2.337,5.087,7.149,1.489,4.238,7.287,6.5,7.7,,,,,,,,,,
167,167,10.795,8.453,4.14,0.0,0.0,-1.0,2.428,5.341,7.263,0.02,4.007,7.202,6.5,8.2,,,,,,,,,,
168,168,10.386,8.55,4.659,50.086,25.0,6.973,2.528,3.675,6.96,0.116,4.102,6.959,6.5,8.9,,,,,,,,,,
169,169,10.018,8.644,4.767,50.122,25.0,6.845,2.617,3.044,6.964,0.214,4.153,6.802,6.3,9.4,,,,,,,,,,
170,170,9.582,8.742,5.228,50.113,25.0,6.485,2.71,3.798,6.531,0.306,3.792,6.633,6.4,9.6,,,,,,,,,,
171,171,9.34,8.814,4.311,0.0,24.999,-1.0,2.795,4.6,6.544,0.394,3.984,6.422,6.5,9.7,,,,,,,,,,
172,172,9.151,8.895,5.708,50.064,25.0,6.463,2.887,5.83,6.401,0.483,4.438,6.355,6.5,10.1,,,,,,,,,,
173,173,9.15,8.99,4.294,50.068,25.0,6.333,2.974,5.526,6.471,0.573,3.826,6.356,6.6,10.4,,,,,,,,,,
174,174,9.642,9.087,4.087,50.066,25.0,6.458,3.069,4.48,6.425,0.669,4.755,6.626,6.6,10.3,,,,,,,,,,
175,175,9.397,9.177,5.36,50.056,25.0,6.434,3.158,5.765,6.348,0.762,4.173,6.521,6.6,10.3,,,,,,,,,,
176,176,9.489,9.338,4.762,49.98,25.0,6.451,3.343,5.904,6.416,0.915,4.046,6.531,6.7,9.5,,,,,,,,,,
177,177,9.695,9.438,5.402,49.983,25.0,6.415,3.43,3.725,6.508,1.01,3.161,6.684,7,-1,,,,,,,,,,
178,178,9.688,9.546,4.195,50.045,25.0,6.432,3.529,5.276,6.598,1.117,4.344,6.669,6.9,-1,,,,,,,,,,
179,179,9.713,9.645,4.207,50.058,25.0,6.51,3.619,4.882,6.594,1.213,2.848,6.711,7.1,-1,,,,,,,,,,
180,180,9.435,9.739,4.68,50.061,25.0,6.482,3.713,4.808,6.548,1.308,4.021,6.477,7,-1,,,,,,,,,,
181,181,9.554,9.831,4.358,50.067,25.0,6.744,3.804,6.063,6.639,1.399,3.129,6.523,7.1,9.5,,,,,,,,,,
182,182,9.797,9.923,5.516,0.0,24.997,-1.0,3.898,5.517,6.642,1.489,4.61,6.706,7.4,9.3,,,,,,,,,,
183,183,9.996,10.023,4.996,50.081,25.0,6.781,3.99,5.205,6.778,0.018,2.907,6.814,7.7,8.5,,,,,,,,,,
184,184,10.141,10.118,4.256,50.094,25.0,6.818,4.087,5.664,6.822,0.113,4.362,6.886,7.9,7.7,,,,,,,,,,
185,185,10.35,10.213,4.505,50.134,25.0,6.965,4.183,5.473,6.964,0.206,4.127,6.959,8.1,7.4,,,,,,,,,,
186,186,10.035,10.312,4.846,50.13,25.0,6.849,4.274,5.534,6.94,0.302,4.418,6.84,8.1,7.6,,,,,,,,,,
187,187,10.65,10.38,4.409,50.075,25.0,7.204,4.359,4.512,7.103,0.386,3.629,7.178,8.3,7.4,,,,,,,,,,
188,188,11.557,10.461,6.154,50.063,25.0,7.375,4.453,4.514,7.395,0.476,5.14,7.68,8.3,6.9,,,,,,,,,,
189,189,12.033,10.554,5.635,50.063,25.0,7.716,4.541,4.927,7.811,0.568,4.994,7.889,7.8,6.9,,,,,,,,,,
190,190,12.492,10.65,4.713,50.066,25.0,8.029,4.632,7.014,8.077,0.661,4.724,8.224,7.8,7.1,,,,,,,,,,
191,191,12.357,10.743,5.949,50.061,25.0,8.131,4.723,6.454,7.957,0.755,5.0,8.143,7.6,7.4,,,,,,,,,,
192,192,12.248,10.896,5.175,49.982,25.0,7.985,4.902,6.051,7.933,0.907,4.127,8.075,7.2,7.2,,,,,,,,,,
193,193,12.966,10.995,4.799,49.984,25.0,8.313,4.99,6.25,8.397,1.0,5.237,8.405,7.1,7.5,,,,,,,,,,
194,194,12.641,11.106,5.872,50.04,25.0,8.139,5.09,6.537,8.151,1.108,4.956,8.291,7,7.8,,,,,,,,,,
195,195,12.153,11.203,5.46,50.055,25.0,7.859,5.181,5.889,7.85,1.204,3.72,7.99,7.1,7.8,,,,,,,,,,
196,196,11.452,11.3,5.598,50.061,25.0,7.6,5.272,5.869,7.658,1.301,5.371,7.608,6.6,7.8,,,,,,,,,,
197,197,11.392,11.388,5.237,50.061,25.0,7.514,5.364,5.686,7.424,1.393,3.256,7.562,6.5,7.7,,,,,,,,,,
198,198,10.967,11.48,6.035,50.074,25.0,7.184,5.46,4.678,7.265,1.48,3.38,7.352,6.6,7.6,,,,,,,,,,
199,199,10.712,11.577,5.172,50.074,25.0,7.33,5.558,4.433,7.163,0.018,4.742,7.099,6.5,8.1,,,,,,,,,,
200,200,10.218,11.671,4.685,50.094,25.0,7.089,5.654,4.43,7.021,0.117,4.239,6.895,6.6,8.8,,,,,,,,,,
201,201,10.184,11.77,5.672,50.137,25.0,6.987,5.749,5.582,7.014,0.213,3.717,6.879,6.4,9.3,,,,,,,,,,
202,202,9.615,11.872,4.747,50.123,25.0,6.592,5.848,6.172,6.668,0.306,3.933,6.604,6.6,-1,,,,,,,,,,
203,203,9.443,11.945,4.691,0.0,24.997,-1.0,5.933,5.657,6.594,0.392,3.245,6.457,6.8,-1,,,,,,,,,,
204,204,9.524,12.027,4.882,50.07,25.0,6.4,6.023,4.44,6.623,0.48,3.0,6.565,6.6,10,,,,,,,,,,
205,205,9.45,12.12,5.064,50.066,25.0,6.417,6.106,6.332,6.503,0.571,3.412,6.518,6.7,10.5,,,,,,,,,,
206,206,9.634,12.213,4.864,50.065,25.0,6.422,6.195,3.772,6.53,0.669,3.882,6.602,6.7,10.4,,,,,,,,,,
207,207,9.635,12.3,4.778,50.047,25.0,6.461,6.285,4.33,6.581,0.762,3.719,6.65,6.8,10.5,,,,,,,,,,
208,208,9.668,12.458,4.611,49.986,25.0,6.463,6.444,5.951,6.518,0.915,4.149,6.645,6.8,9.7,,,,,,,,,,
209,209,10.112,12.57,4.26,50.018,25.0,6.781,6.542,6.157,6.733,1.016,4.291,6.811,7.1,9.6,,,,,,,,,,
210,210,9.761,12.69,5.189,50.101,25.0,6.768,6.652,6.518,6.605,1.131,4.524,6.75,7.1,9.3,,,,,,,,,,
211,211,9.774,12.797,4.498,50.156,25.0,6.653,6.754,5.376,6.659,1.237,4.609,6.652,7.2,9.2,,,,,,,,,,
212,212,9.871,12.885,4.333,50.156,25.0,6.648,6.846,5.677,6.722,1.327,4.222,6.754,7.2,9.5,,,,,,,,,,
213,213,9.882,12.977,4.645,50.165,25.0,6.649,6.939,3.929,6.794,1.42,2.837,6.759,7.3,9.6,,,,,,,,,,
214,214,9.949,13.067,5.815,50.176,25.0,6.838,7.037,4.614,6.759,1.51,3.56,6.776,7.8,9.5,,,,,,,,,,
215,215,10.063,13.163,4.483,50.176,25.0,6.998,7.129,6.399,6.943,0.021,3.864,6.849,8,8.8,,,,,,,,,,
216,216,10.308,13.26,4.265,50.19,25.0,7.129,7.224,3.564,-1.0,-2.692,7483.354,7.024,8.2,8,,,,,,,,,,
217,217,10.547,13.355,5.112,50.231,25.0,7.28,7.321,4.728,7.224,0.213,3.043,7.095,8.4,7.6,,,,,,,,,,
218,218,10.555,13.457,4.206,50.217,25.0,7.196,7.416,4.84,7.032,0.307,4.004,7.117,8.3,7.8,,,,,,,,,,
219,219,11.342,13.527,4.929,50.167,25.0,7.393,7.497,4.528,7.366,0.392,3.619,7.518,8.7,7.4,,,,,,,,,,
220,220,12.009,13.606,5.311,50.167,25.0,7.638,7.589,5.892,7.591,0.484,5.943,7.886,8.3,6.9,,,,,,,,,,
221,221,12.687,13.699,6.918,50.165,25.0,8.14,7.68,6.962,8.187,0.576,4.922,8.318,8.2,6.9,,,,,,,,,,
222,222,13.225,13.794,7.397,50.163,25.0,8.213,7.764,6.404,8.294,0.671,4.666,8.625,7.9,7.2,,,,,,,,,,
223,223,13.293,13.885,5.049,50.149,25.0,8.291,7.863,6.183,8.515,0.762,4.88,8.586,7.9,7.5,,,,,,,,,,
224,224,12.806,14.041,6.04,50.074,25.0,8.257,8.027,5.849,8.284,0.912,3.76,8.373,7.5,7.4,,,,,,,,,,
225,225,13.524,14.142,6.63,50.079,25.0,8.759,8.119,4.804,8.588,1.005,4.964,8.705,7.4,7.7,,,,,,,,,,
226,226,13.353,14.251,4.881,50.14,25.0,8.555,8.218,6.322,8.474,1.112,3.995,8.654,7.3,7.9,,,,,,,,,,
227,227,12.504,14.349,5.466,50.149,25.0,8.135,8.309,5.071,8.184,1.206,3.647,8.203,7.2,7.9,,,,,,,,,,
228,228,12.218,14.442,4.96,50.152,25.0,7.98,8.402,5.961,8.008,1.302,3.133,8.032,6.6,7.9,,,,,,,,,,
229,229,12.167,14.534,4.941,50.158,25.0,7.891,8.493,6.09,7.716,1.395,2.893,7.888,6.7,7.8,,,,,,,,,,
230,230,11.606,14.627,6.098,50.167,25.0,7.442,8.591,5.287,7.749,1.484,4.73,7.655,6.6,7.7,,,,,,,,,,
231,231,11.276,14.722,5.747,50.171,25.0,7.441,8.687,4.36,7.662,0.024,5.854,7.427,6.5,8.1,,,,,,,,,,
232,232,10.705,14.816,6.537,50.193,25.0,7.304,8.786,6.323,7.228,0.122,3.895,7.195,6.4,8.7,,,,,,,,,,
233,233,10.55,14.909,6.784,50.234,25.0,7.079,8.88,5.194,7.054,0.217,4.019,7.01,6.4,9.1,,,,,,,,,,
234,234,9.681,15.005,4.776,50.212,25.0,6.668,8.982,4.943,6.601,0.31,3.991,6.631,6.4,9.3,,,,,,,,,,
235,235,9.523,15.079,6.935,50.167,25.0,6.593,9.065,6.0,6.51,0.396,3.317,6.476,6.7,9.4,,,,,,,,,,
236,236,9.627,15.156,4.878,50.161,25.0,6.461,9.155,5.009,6.475,0.487,4.802,6.535,6.6,9.8,,,,,,,,,,
237,237,9.515,15.248,5.621,50.161,25.0,6.486,9.245,4.242,6.454,0.58,3.013,6.491,6.7,10.2,,,,,,,,,,
238,238,9.734,15.345,4.488,50.161,25.0,6.506,9.338,7.592,6.451,0.679,3.882,6.728,6.7,10.1,,,,,,,,,,
239,239,9.794,15.438,5.881,50.147,25.0,6.585,9.428,3.723,6.502,0.77,3.823,6.464,6.6,10.2,,,,,,,,,,
240,240,9.797,15.608,5.301,50.076,25.0,6.585,9.585,5.651,6.459,0.913,4.258,6.683,6.6,-1,,,,,,,,,,
241,241,9.778,15.708,4.519,50.09,25.0,6.587,9.673,5.318,6.48,1.008,3.26,6.647,6.8,-1,,,,,,,,,,
242,242,9.648,15.815,6.196,50.142,25.0,6.628,9.772,3.82,6.669,1.114,3.977,6.606,6.9,-1,,,,,,,,,,
243,243,9.658,15.911,6.085,50.149,25.0,6.543,9.864,4.857,6.545,1.208,4.477,6.56,7,-1,,,,,,,,,,
244,244,9.701,16.005,5.566,50.15,25.0,6.686,9.958,5.237,6.542,1.303,4.212,6.581,6.9,9.4,,,,,,,,,,
245,245,9.921,16.096,5.806,50.162,25.0,6.694,10.056,5.278,6.593,1.394,3.622,6.642,7.1,9.3,,,,,,,,,,
246,246,10.07,16.188,6.226,50.17,25.0,6.69,10.15,5.871,6.733,1.486,4.739,6.764,7.3,9.3,,,,,,,,,,
247,247,9.984,16.282,5.487,50.174,25.0,6.843,10.244,5.303,6.954,0.03,4.254,6.71,7.7,8.6,,,,,,,,,,
248,248,10.058,16.377,6.177,50.193,25.0,6.982,10.343,5.08,6.772,0.127,2.88,6.727,7.9,7.8,,,,,,,,,,
249,249,10.227,16.47,4.938,50.233,25.0,6.828,10.44,5.843,7.182,0.222,4.365,6.847,8,7.5,,,,,,,,,,
250,250,10.576,16.566,7.246,50.214,25.0,7.033,10.535,5.712,7.064,0.314,3.988,7.029,,,,,,,,,,,,
251,251,11.026,16.636,4.771,50.168,25.0,7.311,10.622,6.01,7.188,0.399,5.052,7.264,,,,,,,,,,,,
252,252,11.765,16.714,5.432,50.167,25.0,7.5,10.719,5.83,7.462,0.489,5.363,7.602,,,,,,,,,,,,
253,253,12.371,16.806,7.303,50.168,25.0,7.702,10.803,6.724,7.62,0.582,5.126,7.936,,,,,,,,,,,,
254,254,12.899,16.9,5.793,50.166,25.0,7.915,10.897,5.361,7.893,0.68,5.828,8.274,,,,,,,,,,,,
255,255,12.773,16.993,4.802,50.151,25.0,7.771,10.992,7.14,8.006,0.776,3.725,8.194,,,,,,,,,,,,
